City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kuytun,54.3419,101.5036,43.05,88,49,4.09,RU,2022-09-10 16:32:42
68,San Rafael,-34.6177,-68.3301,67.95,13,0,18.72,AR,2022-09-10 16:32:42
69,Oktyabrskiy,54.4815,53.471,46.76,72,94,10.38,RU,2022-09-10 16:32:42
70,Khirkiya,22.1674,76.8605,79.54,85,100,3.65,IN,2022-09-10 16:32:43
71,Orlik,52.5178,99.825,40.57,82,52,2.24,RU,2022-09-10 16:32:43
72,Lompoc,34.6391,-120.4579,77.52,86,75,9.22,US,2022-09-10 16:32:43
73,Bethel,41.3712,-73.414,84.15,53,0,5.75,US,2022-09-10 16:32:44
74,Havre-Saint-Pierre,50.2334,-63.5986,66.56,77,0,6.91,CA,2022-09-10 16:32:44
75,Port Augusta,-32.5,137.7667,48.33,76,67,5.12,AU,2022-09-10 16:32:44
76,Kodiak,57.79,-152.4072,49.51,81,100,3.44,US,2022-09-10 16:32:45
77,Tanggu,39.0211,117.6469,71.56,70,10,8.1,CN,2022-09-10 16:32:45
78,Nome,64.5011,-165.4064,44.67,82,100,8.05,US,2022-09-10 16:32:45
79,New Norfolk,-42.7826,147.0587,47.71,76,99,5.01,AU,2022-09-10 16:32:46
80,Lagoa,39.05,-27.9833,72.48,78,100,27.2,PT,2022-09-10 16:32:46
81,Avarua,-21.2078,-159.775,75.25,88,75,10.36,CK,2022-09-10 16:32:47
82,Cidreira,-30.1811,-50.2056,57.81,48,2,16.67,BR,2022-09-10 16:32:47
83,Laguna,38.421,-121.4238,84.02,53,0,6.91,US,2022-09-10 16:32:47
84,Shulin,22.7454,108.423,79.36,84,100,2.82,CN,2022-09-10 16:32:48
85,Winslow,35.0242,-110.6974,73.58,56,0,0.0,US,2022-09-10 16:28:26
86,Tautira,-17.7333,-149.15,77.04,74,25,23.26,PF,2022-09-10 16:32:48
87,Yulara,-25.2406,130.9889,53.44,100,100,5.75,AU,2022-09-10 16:32:48
88,Hithadhoo,-0.6,73.0833,82.0,71,9,12.77,MV,2022-09-10 16:32:49
89,Vertientes,21.2594,-78.1464,90.21,53,83,9.51,CU,2022-09-10 16:32:49
90,Wielun,51.221,18.5696,59.74,85,100,5.86,PL,2022-09-10 16:32:49
91,Bereda,43.2686,-7.5406,88.41,41,21,6.35,ES,2022-09-10 16:32:50
92,Oskarshamn,57.2645,16.4484,60.98,84,58,6.78,SE,2022-09-10 16:33:50
93,Chuy,-33.6971,-53.4616,57.36,49,20,13.38,UY,2022-09-10 16:33:51
94,Dali,25.7,100.1833,60.55,97,100,3.0,CN,2022-09-10 16:33:51
95,Airai,-8.9266,125.4092,57.88,88,90,1.57,TL,2022-09-10 16:33:51
96,Kaoma,-14.7833,24.8,74.1,20,0,5.61,ZM,2022-09-10 16:33:51
97,Cherskiy,68.75,161.3,46.83,93,100,2.71,RU,2022-09-10 16:33:52
98,Souillac,-20.5167,57.5167,70.18,64,40,6.91,MU,2022-09-10 16:33:52
