City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Malanje,-9.5402,16.341,87.46,22,57,2.8,AO,broken clouds
80,Alice Springs,-23.7,133.8833,57.22,26,75,8.05,AU,broken clouds
81,Khatanga,71.9667,102.5,34.88,75,100,7.27,RU,overcast clouds
82,Ati,13.2154,18.3353,95.32,36,1,8.79,TD,clear sky
83,Punta Arenas,-53.15,-70.9167,42.91,75,75,29.93,CL,light intensity shower rain
84,Kaduy,59.2,37.15,48.49,74,23,5.59,RU,few clouds
85,Quatre Cocos,-20.2078,57.7625,72.09,75,27,15.03,MU,scattered clouds
86,Lasa,46.6166,10.7002,70.36,44,24,4.63,IT,few clouds
87,Druzhba,52.0428,33.9453,46.27,93,100,17.56,UA,moderate rain
88,Bluff,-46.6,168.3333,45.45,78,100,10.87,NZ,overcast clouds
89,Dhidhdhoo,6.8833,73.1,80.35,84,100,14.09,MV,overcast clouds
90,Mehamn,71.0357,27.8492,44.55,87,75,2.3,NO,light rain
91,Kantunilkin,21.0917,-87.45,80.19,85,98,3.31,MX,overcast clouds
92,Tarazona,41.9,-1.7333,93.02,16,60,8.48,ES,broken clouds
93,Manaure,11.7751,-72.4445,90.68,56,100,14.5,CO,overcast clouds
94,Hazleton,40.9584,-75.9746,64.71,89,100,4.61,US,drizzle
95,Ada,43.4166,-116.1262,67.98,20,0,4.03,US,clear sky
96,Salinas,36.6777,-121.6555,77.76,74,0,4.61,US,clear sky
97,Rapid City,44.0805,-103.231,67.32,52,0,1.99,US,clear sky
98,San Andres,12.5847,-81.7006,86.02,79,75,12.66,CO,broken clouds
99,Vaini,-21.2,-175.2,71.76,94,20,4.61,TO,few clouds
100,Klungkung,-8.5333,115.4,77.68,86,54,2.89,ID,broken clouds
101,Mindelo,16.8901,-24.9804,78.76,77,9,16.82,CV,clear sky
102,Galle,6.0367,80.217,78.28,90,84,10.04,LK,broken clouds
103,Sitka,57.0531,-135.33,52.0,83,68,3.06,US,broken clouds
104,Pelym,61.0108,61.9978,40.35,86,67,3.06,RU,broken clouds
105,Lavumisa,-27.31,31.892,76.86,60,6,9.1,SZ,clear sky
106,Nadym,65.5333,72.5167,43.57,68,100,12.59,RU,overcast clouds
107,Baza,37.4907,-2.7726,88.74,38,97,10.0,ES,overcast clouds
108,Butaritari,3.0707,172.7902,81.64,68,73,12.41,KI,broken clouds
109,Menongue,-14.6585,17.691,88.34,8,1,4.88,AO,clear sky
110,Henties Bay,-22.116,14.2845,58.14,83,7,14.0,NA,clear sky
111,Rafai,4.95,23.9167,74.01,90,53,4.7,CF,light rain
112,Agdas,40.65,47.4761,75.07,56,35,7.09,AZ,scattered clouds
113,Katsina,12.9894,7.6006,84.51,55,99,9.24,NG,overcast clouds
114,Talaya,61.3833,152.75,35.87,83,47,1.19,RU,scattered clouds
115,Bubaque,11.2833,-15.8333,80.8,74,64,1.52,GW,broken clouds
116,Junnar,19.2,73.8833,73.08,93,100,3.49,IN,overcast clouds
117,Hithadhoo,-0.6,73.0833,82.27,71,44,14.25,MV,scattered clouds
118,Sao Joao Da Barra,-21.6403,-41.0511,73.49,67,97,16.55,BR,overcast clouds
119,Kerouane,9.2667,-9.0167,79.66,79,99,2.98,GN,light rain
120,Luderitz,-26.6481,15.1594,66.85,49,8,30.62,NA,clear sky
121,Qui Nhon,13.7667,109.2333,80.08,83,44,5.77,VN,scattered clouds
122,Namibe,-15.1961,12.1522,74.03,73,0,13.8,AO,clear sky
123,Chimbote,-9.0853,-78.5783,66.24,71,87,10.94,PE,overcast clouds
124,Dunedin,-45.8742,170.5036,46.8,89,100,4.16,NZ,overcast clouds
125,Lompoc,34.6391,-120.4579,75.78,82,100,5.75,US,overcast clouds
126,Shelburne,44.0787,-80.2041,76.23,59,100,11.16,CA,overcast clouds
127,Poum,-20.2333,164.0167,75.7,81,8,6.73,NC,clear sky
128,Atuona,-9.8,-139.0333,76.5,69,12,20.31,PF,few clouds
129,Bilma,18.6853,12.9164,102.49,11,14,1.14,NE,few clouds
130,Brinkovskaya,46.0347,38.5869,74.88,40,90,5.79,RU,overcast clouds
131,Bamboo,18.3922,-77.2643,80.83,67,22,11.03,JM,few clouds
132,Tasiilaq,65.6145,-37.6368,40.55,74,98,6.08,GL,overcast clouds
133,Hauterive,46.0901,3.4459,77.76,32,8,4.43,FR,clear sky
134,Kropotkin,45.4375,40.5756,70.59,48,90,14.72,RU,overcast clouds
135,Klaksvik,62.2266,-6.589,54.52,98,100,24.4,FO,moderate rain
136,Tiksi,71.6872,128.8694,36.9,97,100,12.66,RU,light rain
