City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Rapid City,US,67.32,clear sky,44.0805,-103.231,
98,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,
99,Vaini,TO,71.76,few clouds,-21.2,-175.2,
100,Klungkung,ID,77.68,broken clouds,-8.5333,115.4,
101,Mindelo,CV,78.76,clear sky,16.8901,-24.9804,
102,Galle,LK,78.28,broken clouds,6.0367,80.217,
103,Sitka,US,52.0,broken clouds,57.0531,-135.33,
104,Pelym,RU,40.35,broken clouds,61.0108,61.9978,
105,Lavumisa,SZ,76.86,clear sky,-27.31,31.892,
106,Nadym,RU,43.57,overcast clouds,65.5333,72.5167,
107,Baza,ES,88.74,overcast clouds,37.4907,-2.7726,
108,Butaritari,KI,81.64,broken clouds,3.0707,172.7902,
109,Menongue,AO,88.34,clear sky,-14.6585,17.691,
111,Rafai,CF,74.01,light rain,4.95,23.9167,
112,Agdas,AZ,75.07,scattered clouds,40.65,47.4761,
113,Katsina,NG,84.51,overcast clouds,12.9894,7.6006,
114,Talaya,RU,35.87,scattered clouds,61.3833,152.75,
115,Bubaque,GW,80.8,broken clouds,11.2833,-15.8333,
116,Junnar,IN,73.08,overcast clouds,19.2,73.8833,
117,Hithadhoo,MV,82.27,scattered clouds,-0.6,73.0833,
118,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,
119,Kerouane,GN,79.66,light rain,9.2667,-9.0167,
121,Qui Nhon,VN,80.08,scattered clouds,13.7667,109.2333,
122,Namibe,AO,74.03,clear sky,-15.1961,12.1522,
123,Chimbote,PE,66.24,overcast clouds,-9.0853,-78.5783,
124,Dunedin,NZ,46.8,overcast clouds,-45.8742,170.5036,
125,Lompoc,US,75.78,overcast clouds,34.6391,-120.4579,
126,Shelburne,CA,76.23,overcast clouds,44.0787,-80.2041,
127,Poum,NC,75.7,clear sky,-20.2333,164.0167,
128,Atuona,PF,76.5,few clouds,-9.8,-139.0333,
130,Brinkovskaya,RU,74.88,overcast clouds,46.0347,38.5869,
131,Bamboo,JM,80.83,few clouds,18.3922,-77.2643,
132,Tasiilaq,GL,40.55,overcast clouds,65.6145,-37.6368,
133,Hauterive,FR,77.76,clear sky,46.0901,3.4459,
134,Kropotkin,RU,70.59,overcast clouds,45.4375,40.5756,
135,Klaksvik,FO,54.52,moderate rain,62.2266,-6.589,
136,Tiksi,RU,36.9,light rain,71.6872,128.8694,
137,Aasiaat,GL,41.86,overcast clouds,68.7098,-52.8699,
138,Praia Da Vitoria,PT,74.75,scattered clouds,38.7333,-27.0667,
139,Gibara,CU,90.45,clear sky,21.1097,-76.1317,
140,Valdivia,CL,51.89,overcast clouds,-39.8142,-73.2459,
141,Pokhara,NP,71.76,overcast clouds,28.2333,83.9833,
142,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,
143,Victoria,HK,87.19,clear sky,22.2855,114.1577,
144,Stockach,DE,72.25,scattered clouds,47.85,9.0167,
145,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,
146,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,
147,Cidreira,BR,57.49,clear sky,-30.1811,-50.2056,
148,Haines Junction,CA,22.95,clear sky,60.7522,-137.5108,
149,Hasaki,JP,73.8,broken clouds,35.7333,140.8333,
151,Tuatapere,NZ,43.86,overcast clouds,-46.1333,167.6833,
152,Nizhniy Kuranakh,RU,37.18,few clouds,58.8353,125.4869,
153,Baculin,PH,78.39,overcast clouds,7.4525,126.5842,
154,Kaeo,NZ,57.33,overcast clouds,-35.1,173.7833,
155,Sioux Lookout,CA,59.07,few clouds,50.1001,-91.917,
156,Alofi,NU,67.89,overcast clouds,-19.0595,-169.9187,
157,Dymer,UA,60.85,light rain,50.7865,30.3026,
158,Gornyatskiy,RU,64.18,overcast clouds,48.2915,40.9575,
159,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,
160,Nagornskiy,RU,43.79,overcast clouds,58.7731,57.5451,
161,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,
162,Rincon,US,87.94,broken clouds,32.296,-81.2354,
163,Rio Gallegos,AR,48.25,broken clouds,-51.6226,-69.2181,
164,Naze,JP,81.52,overcast clouds,28.3667,129.4833,
165,Bowen,AU,63.72,clear sky,-20.0167,148.2333,
166,Iqaluit,CA,46.13,broken clouds,63.7506,-68.5145,
167,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,
168,Halifax,CA,79.45,clear sky,44.6453,-63.5724,
169,Provideniya,RU,44.04,overcast clouds,64.3833,-173.3,
170,Jalali,IN,88.88,broken clouds,27.8667,78.2667,
171,Andenes,NO,49.98,light rain,69.3143,16.1194,
172,Ostersund,SE,54.61,few clouds,63.1792,14.6357,
173,Qingdao,CN,69.4,clear sky,36.0986,120.3719,
174,Lengshuijiang,CN,75.61,few clouds,27.6881,111.4294,
175,Mitsamiouli,KM,76.21,light rain,-11.3847,43.2844,
176,Ilulissat,GL,38.98,moderate rain,69.2167,-51.1,
177,Elko,US,51.82,scattered clouds,41.0002,-115.5012,
178,Temyasovo,RU,43.11,overcast clouds,52.9933,58.1014,
179,Castro,BR,62.6,overcast clouds,-24.7911,-50.0119,
180,Faya,SA,80.71,broken clouds,18.3851,42.4509,
181,Lata,PT,87.93,overcast clouds,40.1629,-8.3327,
182,Semirom,IR,67.82,clear sky,31.4167,51.5667,
